Entity,Code,Year,Oil Consumption - TWh,Gas Consumption - TWh,Coal Consumption - TWh
Africa,,1965,341.26275634765625,9.543754577636719,323.4961242675781
Africa,,1966,369.486572265625,10.669916152954102,323.1221923828125
Africa,,1967,368.125244140625,10.545669555664062,330.29156494140625
Africa,,1968,389.1998596191406,10.688969612121582,343.5129089355469
Africa,,1969,396.9228515625,12.491999626159668,346.6429443359375
Africa,,1970,433.7723083496094,15.52032470703125,360.75689697265625
Africa,,1971,473.5654296875,18.405263900756836,383.0123291015625
Africa,,1972,510.6726379394531,24.670656204223633,384.2108154296875
Africa,,1973,549.7197875976562,39.55179214477539,408.91033935546875
Africa,,1974,567.7996826171875,44.51848602294922,425.6462097167969
Africa,,1975,596.4046630859375,53.63837814331055,451.08050537109375
Africa,,1976,652.5804443359375,60.98139190673828,481.07415771484375
Africa,,1977,695.1663208007812,68.23419189453125,491.6984558105469
Africa,,1978,732.1810302734375,97.36990356445312,477.8155822753906
Africa,,1979,770.9386596679688,148.8428192138672,507.2469787597656
Africa,,1980,817.2388916015625,186.91397094726562,543.5570678710938
Africa,,1981,883.8618774414062,228.4911651611328,635.7987670898438
Africa,,1982,925.2272338867188,246.73355102539062,701.1759033203125
Africa,,1983,964.5521850585938,271.27532958984375,713.2460327148438
Africa,,1984,981.7520751953125,259.90277099609375,762.8978271484375
Africa,,1985,1007.0918579101562,278.8427429199219,787.1658935546875
Africa,,1986,988.5931396484375,313.2712097167969,805.3560791015625
Africa,,1987,1042.068603515625,323.3843688964844,828.3197021484375
Africa,,1988,1086.2681884765625,358.4445495605469,890.1607666015625
Africa,,1989,1123.926513671875,371.4710388183594,835.620849609375
Africa,,1990,1142.40283203125,398.6453857421875,877.6782836914062
Africa,,1991,1148.7052001953125,401.6355895996094,853.7621459960938
Africa,,1992,1170.524658203125,421.270263671875,858.8311767578125
Africa,,1993,1180.07666015625,412.64398193359375,871.7139282226562
Africa,,1994,1221.8846435546875,431.82794189453125,894.4478149414062
Africa,,1995,1266.78173828125,461.2434997558594,922.4712524414062
Africa,,1996,1293.97119140625,484.1917724609375,935.2282104492188
Africa,,1997,1332.2730712890625,474.47552490234375,959.0191040039062
Africa,,1998,1363.5086669921875,499.33697509765625,937.0389404296875
Africa,,1999,1414.5601806640625,504.0196228027344,966.0106811523438
Africa,,2000,1420.386474609375,556.8223876953125,963.7305908203125
Africa,,2001,1432.664306640625,634.6361694335938,975.92626953125
Africa,,2002,1479.16650390625,670.6054077148438,934.4215698242188
Africa,,2003,1524.8150634765625,711.5067138671875,1017.0484008789062
Africa,,2004,1586.5107421875,783.0681762695312,1119.161865234375
Africa,,2005,1654.919189453125,807.7815551757812,1039.0726318359375
Africa,,2006,1673.716796875,843.4420776367188,1054.0970458984375
Africa,,2007,1734.74072265625,900.0696411132812,1071.63330078125
Africa,,2008,1824.8509521484375,935.162109375,1180.72509765625
Africa,,2009,1885.976318359375,940.8606567382812,1176.0020751953125
Africa,,2010,1966.214599609375,980.7318115234375,1164.840087890625
Africa,,2011,1934.1708984375,1060.5269775390625,1147.29931640625
Africa,,2012,2046.8299560546875,1146.7703857421875,1118.487060546875
Africa,,2013,2121.44140625,1169.7454833984375,1130.16064453125
Africa,,2014,2143.33349609375,1202.3199462890625,1183.8060302734375
Africa,,2015,2199.14501953125,1325.35986328125,1119.03857421875
Africa,,2016,2210.926025390625,1370.4951171875,1186.2879638671875
Africa,,2017,2233.08984375,1448.744873046875,1185.067138671875
Africa,,2018,2257.501953125,1543.55078125,1163.599853515625
Africa,,2019,2262.0361328125,1549.72998046875,1231.3167724609375
Africa,,2020,2011.0526123046875,1535.972412109375,1157.901123046875
Africa,,2021,2183.5419921875,1643.8150634765625,1168.7406005859375
Africa (BP),,1965,341.26275634765625,9.543754577636719,323.4961242675781
